id_support,operateur,technologie,adresse,code_insee,coordonnees,type_support,hauteur_support,proprietaire_support,date_activ,action,infos,is_zb,is_new
101030,ORANGE,5G NR 2100,CENTRAL TÉLÉPHONIQUE (LE BOURG) 63230 LA GOUTELLE,63170,"45.8436,2.7656",Pylône autostable,30m,TOTEM,,AJO,,False,False
101083,ORANGE,"LTE 700, 5G NR 2100", (THÈDES) 63122 ST GENES CHAMPANELLE,63345,"45.7381,3.0242",Pylône tubulaire,14m,TOTEM,,AJO,,False,False
101083,ORANGE,LTE 2100, (THÈDES) 63122 ST GENES CHAMPANELLE,63345,"45.7381,3.0242",Pylône tubulaire,14m,TOTEM,2019-03-13,SUP,,False,False
1047626,FREE MOBILE,, (SIGNAL DE FLAGIT) 48000 BALSIEGES,48016,"44.52,3.4522",Pylône autostable,41m,ORANGE,2020-12-15,CHA,S1 Signal de Flagit,False,False
1047626,ORANGE,, (SIGNAL DE FLAGIT) 48000 BALSIEGES,48016,"44.52,3.4522",Pylône autostable,41m,ORANGE,2019-02-28,CHA,S1 Signal de Flagit,False,False
1187750,FREE MOBILE,"LTE 700, LTE 1800, 5G NR 3500",11 RUE RAYMOND PITET 13011 MARSEILLE 11,13211,"43.2997,5.4875",Pylône tubulaire,"19,1m",ON TOWER FRANCE,2026-04-20,ALL,,False,False
1198594,ORANGE,LTE 1800,14 RUE DE BRETIGNY PORT AUTONOME 94380 BONNEUIL SUR MARNE,94011,"48.7833,2.5067",Pylône tubulaire,34m,TOTEM,2026-04-09,ALL,,False,False
1213300,SFR,LTE 1800,RUE RENÉ PANHARD ZI AUX PRÉS LORIBES 59128 FLERS EN ESCREBIEUX,59234,"50.4075,3.0644",Bâtiment,"11,2m",Société Privée,2026-04-21,ALL,,False,False
1215229,ORANGE,LTE 700,10 BIS RUE DU CALVAIRE 59440 DOMPIERRE SUR HELPE,59177,"50.1444,3.8683",Pylône tubulaire,30m,TOTEM,2026-04-17,ALL,,False,False
1216418,FREE MOBILE,5G NR 2100,20 RUE LOUIS ARMAND 92130 ISSY LES MOULINEAUX,92040,"48.8322,2.2794",Immeuble,25m,Société Privée,2026-04-20,ALL,,False,False
1237990,BOUYGUES TELECOM,"GSM 900, UMTS 900, UMTS 2100",2 BD DE LA BLANCARDE 13004 MARSEILLE 04,13204,"43.3025,5.3964",Immeuble,"31,9m","Copropriété, Syndic, SCI",2020-05-16,SUP,,False,False
1281080,BOUYGUES TELECOM,GSM 900,RUE DE LA FONTAINE 59270 METEREN,59401,"50.7492,2.6956",Pylône autostable,30m,EDF ou GDF,2024-01-31,SUP,,False,False
1285076,BOUYGUES TELECOM,LTE 1800,A 115-INTERSECT. D407 (CCAL AUCHAN) 95150 TAVERNY,95607,"49.0133,2.2231",Bâtiment,13m,Société Privée,,AJO,,False,False
1286125,ORANGE,"LTE 1800, 5G NR 700, 5G NR 3500",RUE DU PANORAMA EGLISE  58140 LORMES,58145,"47.29,3.8139",Monument religieux,42m,"Commune, communauté de communes",,AJO,,False,False
1288060,FREE MOBILE,5G NR 700,103 BOULEVARD NEY 75018 PARIS 18,75118,"48.8975,2.3367",Immeuble,33m,Société HLM,2026-04-20,ALL,,False,False
1292217,OUTREMER TELECOM,"LTE 700, 5G NR 3500",HABITATION LA POTERIE (CHATEAU GAILLARD) 97229 LES TROIS ILETS,97231,"14.5294,-61.0069",Pylône autostable,20m,Outremer Telecom,,AJO,,False,False
1326852,ORANGE,5G NR 700,59-61 R DE LA BONGARDE 92230 GENNEVILLIERS,92036,"48.925,2.3233",Immeuble,25m,Société Privée,,AJO,,False,False
1326852,ORANGE,LTE 700,59-61 R DE LA BONGARDE 92230 GENNEVILLIERS,92036,"48.925,2.3233",Immeuble,25m,Société Privée,2021-06-17,SUP,,False,False
1353494,BOUYGUES TELECOM,5G NR 3500,AVENUE GÉNÉRAL DE GAULLE CC CRETEIL SOLEIL PORTE 23 94000 CRETEIL,94028,"48.78,2.4572",Bâtiment,15m,Société Privée,,AJO,,False,False
1355036,ORANGE,GSM 900, (LA BÉRARDE) 38520 ST CHRISTOPHE EN OISANS,38375,"44.9339,6.2933",Mât,12m,TOTEM,2014-06-16,SUP,,False,False
1397553,FREE MOBILE,5G NR 3500,13 RUE DU PÉROU ENTREPOT SHURGARD 91300 MASSY,91377,"48.7214,2.3",Immeuble,20m,Société Privée,2026-04-20,ALL,,False,False
