id_support,operateur,action,technologie,adresse,code_insee,coordonnees,type_support,hauteur_support,proprietaire_support,date_activ,is_zb,is_new
1006641,FREE MOBILE,AJO,LTE 900,QUAI GEORGES V (PRÈS DE L'HÔTEL MERCURE) IMM WORLD TRADE CENTER 76620 LE HAVRE,76351,"49.4903,0.1175",Bâtiment,"37,2m","CCI, Ch Métier, Port Aut, Aéroport",,False,False
1016286,FREE MOBILE,AJO,LTE 900,19 RUE HENRI GAUTIER 93000 BOBIGNY,93008,"48.9036,2.4292",Pylône haubané,"23,5m","Copropriété, Syndic, SCI",,False,False
1016690,FREE MOBILE,AJO,LTE 900,15 RUE RAYMOND POINCARE 51100 REIMS,51454,"49.2792,4.0194",Immeuble,"21,4m",Société HLM,,False,False
1016857,FREE MOBILE,ALL,LTE 900,138 AVENUE BERTHELOT 69007 LYON 07,69387,"45.7428,4.8494",Immeuble,"34,7m","Copropriété, Syndic, SCI",2025-10-06,False,False
1019277,FREE MOBILE,ALL,"LTE 900, 5G NR 3500",2 ALLEE DE L  ESSONNE 91100 CORBEIL ESSONNES,91174,"48.6042,2.4628",Immeuble,"29,3m",Société HLM,2025-10-06,False,False
1023562,FREE MOBILE,AJO,LTE 900,RUE DES GRAVIERS ZONE D'ACTIVITÉ DES GRAVIERS 91190 VILLIERS LE BACLE,91679,"48.7311,2.1119",Pylône autostable,32m,TOTEM,,False,False
1042308,FREE MOBILE,AJO,LTE 900,80 AV GEORGES GUYNEMER 94550 CHEVILLY LARUE,94021,"48.7628,2.3403",Pylône tubulaire,25m,FREE-MOBILE,,False,False
1042902,BOUYGUES TELECOM,SUP,"GSM 1800, UMTS 2100",BISSY PRÈS RÉSERVOIR (LA CÔTE DE CHAMOUX) 73000 CHAMBERY,73065,"45.575,5.8744",Pylône autostable,19m,HIVORY,2017-09-28,False,False
1049460,FREE MOBILE,AJO,LTE 900,289 RUE CHARLES PERRAULT 30900 NIMES,30189,"43.8156,4.3211",Immeuble,20m,"Copropriété, Syndic, SCI",,False,False
1049582,ORANGE,SUP,"GSM 900, UMTS 900, LTE 700","27, RUE G.DELORY 42230 ST ETIENNE",42218,"45.4614,4.4036",Mât métallique,13m,Société Privée,2018-02-28,False,False
1052082,FREE MOBILE,ALL,LTE 900,2 RUE LUDWIG VAN BEETHOVEN 78112 ST GERMAIN EN LAYE,78551,"48.8933,2.0647",Bâtiment,"28,6m",Société HLM,2025-10-06,False,False
