id_support,operateur,technologie,adresse,code_insee,coordonnees,type_support,hauteur_support,proprietaire_support,date_activ,action,infos,is_zb,is_new
1006766,BOUYGUES TELECOM,"LTE 1800, LTE 2100, 5G NR 2100",STATION TDF DU MONT AGEL (MONT AGEL) 06440 PEILLE,06091,"43.7714,7.425",Bâtiment,10m,TDF,2026-01-07,ALL,,False,False
1006766,SFR,"LTE 700, LTE 1800, LTE 2100, 5G NR 2100",STATION TDF DU MONT AGEL (MONT AGEL) 06440 PEILLE,06091,"43.7714,7.425",Bâtiment,10m,TDF,2026-01-13,ALL,,False,False
1009423,ORANGE,"GSM 900, LTE 700",CHEMIN DU FOND DE LA CÔTE (SARRAT JEAN LE BON) 09000 FOIX,09122,"42.9525,1.5975",Pylône tubulaire,13m,TOTEM,2018-03-05,SUP,,False,False
101020,ORANGE,5G NR 2100, (LA CHAUPRILLADE) 63290 PASLIERES,63271,"45.9036,3.5175",Pylône autostable,"26,6m",TOTEM,,AJO,,False,False
101020,ORANGE,LTE 2100, (LA CHAUPRILLADE) 63290 PASLIERES,63271,"45.9036,3.5175",Pylône autostable,"26,6m",TOTEM,,SUP,,False,False
1013308,ORANGE,5G NR 3500,THALES AIR DEFENSE (HAMEAU DE ROUSSIGNY) 91470 LIMOURS,91338,"48.6486,2.0961",Pylône tubulaire,37m,TOTEM,2025-12-26,ALL,,False,False
1035588,ORANGE,5G NR 700,AVENUE DE JOURDANE (LE COUDE) 33440 AMBARES ET LAGRAVE,33003,"44.9383,-0.5194",Pylône autostable,30m,TOTEM,2025-12-22,ALL,,False,False
1156030,ORANGE,GSM 900,BOULEBARD DES JUSTES (PÔLE SANTÉ DU VIRVAL) 62100 CALAIS,62193,"50.9406,1.8942",Pylône tubulaire,20m,TOTEM,2013-05-31,SUP,,False,False
1169001,ORANGE,,RUE DU CAPITAINE MARIENNE CENTRAL TÉLÉPHONIQUE 56420 PLUMELEC,56172,"47.8397,-2.6408",Pylône autostable,"28,5m",TOTEM,2008-01-31,CHH,31m,False,False
1174374,ORANGE,5G NR 700,133 RTE DE ST CYR CENTRE DE RÉADAPTATION  LE VAL ROSAY 69370 ST DIDIER AU MONT D OR,69194,"45.7981,4.8108",Immeuble,23m,Établissement de soins,2026-01-06,ALL,,False,False
