id_support,operateur,action,technologie,adresse,code_insee,coordonnees,type_support,hauteur_support,proprietaire_support,date_activ,is_zb,is_new
1209093,ORANGE,ALL,5G NR 2100,CHEMIN RURAL DIT LE VIEUX MOULIN TERRAIN COMMUNAL 02110 SEBONCOURT,02703,"49.9478,3.4758",Pylône tubulaire,24m,TOTEM,2025-09-10,False,False
1214806,ORANGE,ALL,"5G NR 700, 5G NR 3500","11, PLACE GAMBETTA LA POSTE 62170 MONTREUIL SUR MER",62588,"50.4644,1.7628",Bâtiment,27m,ORANGE Services Fixes,2025-09-03,False,False
1272754,FREE MOBILE,AJO,LTE 900,17 RUE EDMOND DUBUIS 92000 NANTERRE,92050,"48.8903,2.22",Immeuble,"27,4m",Société HLM,,False,False
1276645,SRR,AJO,"LTE 700, LTE 2100, LTE 2600, 5G NR 3500",ROUTE DES TAMARINS ECHANGEUR N1 D6 (PLATEAU CAILLOU) 97460 ST PAUL,97415,"-21.0214,55.2561",Pylône autostable,20m,Société Réunionnaise de Radiotéléphonie,,False,False
1276645,SRR,ALL,"GSM 900, UMTS 900, UMTS 2100, LTE 800, LTE 1800",ROUTE DES TAMARINS ECHANGEUR N1 D6 (PLATEAU CAILLOU) 97460 ST PAUL,97415,"-21.0214,55.2561",Pylône autostable,20m,Société Réunionnaise de Radiotéléphonie,2013-06-27,False,False
1276645,SRR,SUP,"GSM 900, UMTS 900, UMTS 2100, LTE 700, LTE 800, LTE 1800, LTE 2100, LTE 2600, 5G NR 3500",ROUTE DES TAMARINS ECHANGEUR N1 D6 (PLATEAU CAILLOU) 97460 ST PAUL,97415,"-21.0214,55.2561",Pylône autostable,20m,Société Réunionnaise de Radiotéléphonie,2013-06-27,False,False
1278012,FREE MOBILE,AJO,LTE 900,65 AVENUE ROUGET DE LISLE 92000 NANTERRE,92050,"48.8992,2.2028",Immeuble,"37,3m",Société HLM,,False,False
1281841,ORANGE,ALL,"LTE 1800, 5G NR 2100",RUE DE BEAURIEUX CD 892 (LA GROSSE MONTAGNE) 02160 CRAONNELLE,02235,"49.4236,3.7636",Pylône tubulaire,30m,TOTEM,2025-08-29,False,False
128203,FREE MOBILE,AJO,LTE 900, (TINGELBERG) 57445 REDING,57566,"48.7556,7.0903",Pylône autostable,27m,ATC FRANCE,,False,False
1283918,FREE MOBILE,AJO,LTE 900,1 PLACE VERDUN 92300 LEVALLOIS PERRET,92044,"48.8939,2.2856",Immeuble,"44,9m",Société HLM,,False,False
1284682,ORANGE,ALL,5G NR 3500,RUE GEORGES CADOUDAL CHAMP DU PINEGUI 56450 SURZUR,56248,"47.5842,-2.6303",Pylône autostable,30m,TOTEM,2025-09-11,False,False
1285348,FREE MOBILE,AJO,LTE 900,4 PL ROLLAND 57100 THIONVILLE,57672,"49.3653,6.1719",Immeuble,"48,6m","Copropriété, Syndic, SCI",,False,False
1286909,DIGICEL,ALL,LTE 900,QUARTIER SINAI (BOIS LÉZARDS) 97213 GROS MORNE,97212,"14.7272,-61.0386",Pylône autostable,27m,DIGICEL,2025-06-01,False,False
1286909,FREE CARAIBES,ALL,UMTS 900,QUARTIER SINAI (BOIS LÉZARDS) 97213 GROS MORNE,97212,"14.7272,-61.0386",Pylône autostable,27m,DIGICEL,2025-06-01,False,False
1289500,FREE MOBILE,AJO,"LTE 700, LTE 900, LTE 1800, LTE 2100, LTE 2600, 5G NR 700, 5G NR 3500",11 R DU PROFESSEUR ROUX 9BIS RUE GÉNÉRAL DE REFFYE 88000 EPINAL,88160,"48.1806,6.4333",Pylône autostable,35m,"Commune, communauté de communes",,False,True
1289644,FREE MOBILE,AJO,LTE 900,7 ALLEE DES MYOSOTIS CITÉ DES TRÈS BOURGEOIS 92150 SURESNES,92073,"48.8781,2.2211",Immeuble,"21,4m",Société HLM,,False,False
1291529,TELCO OI,AJO,"LTE 2100, LTE 2600, 5G NR 700, 5G NR 3500",QUARTIER DE LA GEOLE ZI DE KAWENI 97605 MAMOUDZOU,97611,"-12.7658,45.2217",Mât métallique,12m,Particulier,,False,False
1291529,TELCO OI,ALL,"GSM 900, UMTS 900, UMTS 2100, LTE 800, LTE 1800",QUARTIER DE LA GEOLE ZI DE KAWENI 97605 MAMOUDZOU,97611,"-12.7658,45.2217",Mât métallique,12m,Particulier,2019-03-11,False,False
1291529,TELCO OI,SUP,"GSM 900, UMTS 900, UMTS 2100, LTE 800, LTE 1800, LTE 2100, LTE 2600, 5G NR 700, 5G NR 3500",QUARTIER DE LA GEOLE ZI DE KAWENI 97605 MAMOUDZOU,97611,"-12.7658,45.2217",Mât métallique,12m,Particulier,2019-03-11,False,False
1291536,TELCO OI,AJO,"LTE 2100, LTE 2600, 5G NR 700, 5G NR 3500",CENT VILLAS 97680 TSINGONI,97617,"-12.79,45.1014",Immeuble,10m,Particulier,,False,False
1291536,TELCO OI,ALL,"GSM 900, UMTS 900, UMTS 2100, LTE 800, LTE 1800",CENT VILLAS 97680 TSINGONI,97617,"-12.79,45.1014",Immeuble,10m,Particulier,2019-03-11,False,False
