id_support,operateur,technologie,adresse,code_insee,coordonnees,type_support,hauteur_support,proprietaire_support,action,infos,liste_azimut,date_activ,is_zb,is_new
1351652,FREE MOBILE,LTE 800, (HAUT DE VAUTHIEBAULT) 10160 ST MARDS EN OTHE,10350,"48.1697,3.7883",Pylône autostable,32m,Conseil Départemental,AJO,,55|155,,False,False
1352238,FREE MOBILE,LTE 800, (LES CETEES) 26350 VALHERBASSE,26210,"45.2017,5.1333",Pylône autostable,28m,BOUYGUES,AJO,,130|350,,False,False
1353821,FREE MOBILE,LTE 800, (LE TROU DE LA PENELLE) 16410 VOUZAN,16422,"45.5933,0.3708",Pylône autostable,"42,5m",Conseil Départemental,AJO,,70|190|310,,False,False
1355907,FREE MOBILE,LTE 800, (BLANCHE TERRE) 08240 TAILLY,08437,"49.4286,5.0836",Pylône autostable,23m,SFR,AJO,,200|350,,False,False
1362748,FREE MOBILE,LTE 800, (COTE PERRIERE) 25270 CROUZET MIGETTE,25180,"46.9467,6.0106",Pylône autostable,38m,BOUYGUES,AJO,,0|290,,False,False
1377687,FREE MOBILE,5G NR 700,10 PLACE CYRANO DE BERGERAC 92290 CHATENAY MALABRY,92019,"48.7683,2.2503",Immeuble,"37,3m",Société HLM,AJA,,30|160|300,,False,False
1395985,FREE MOBILE,LTE 800,GR 9 TERRAIN E.D.F LE BAIX (LE BAIX) 26400 PLAN DE BAIX,26240,"44.8219,5.1694",Pylône autostable,22m,Conseil Départemental,AJO,,200|340,,False,False
1396016,FREE MOBILE,LTE 800,PRATS-DU-PERIGORD (L'HOSTE) 24550 PRATS DU PERIGORD,24337,"44.6989,1.0681",Pylône autostable,28m,Conseil Départemental,AJO,,65|180|275,,False,False
1396426,FREE MOBILE,LTE 800, (LE PEYROT) 24550 LOUBEJAC,24245,"44.5956,1.0736",Pylône autostable,32m,Conseil Départemental,AJO,,0|120|240,,False,False
1396477,FREE MOBILE,LTE 800, (SOUIS OUEST) 33113 CAZALIS,33115,"44.3511,-0.4039",Pylône autostable,45m,HIVORY,AJO,,30|120|300,,False,False
1396548,FREE MOBILE,LTE 800,LE FRACHET (COL DES AYES) 26400 OMBLEZE,26221,"44.8303,5.2136",Pylône autostable,20m,Conseil Départemental,AJO,,5|240,,False,False
1396934,FREE MOBILE,LTE 800,D 139 (COL DES LIGES) 11330 DAVEJEAN,11117,"42.9594,2.6136",Pylône autostable,15m,BOUYGUES,AJO,,30|270,,False,False
1396972,FREE MOBILE,LTE 800, (CHABRUS) 07190 MARCOLS LES EAUX,07149,"44.8114,4.4114",Pylône autostable,20m,Conseil Départemental,AJO,,45|295,,False,False
1396976,FREE MOBILE,LTE 800, (LA COSTE) 11250 GREFFEIL,11169,"43.08,2.3958",Pylône autostable,30m,Conseil Départemental,AJO,,220|350,,False,False
1397018,FREE MOBILE,LTE 800,D 17 (COLE DES MOULIS) 11140 ESCOULOUBRE,11127,"42.7333,2.1178",Pylône autostable,"16,5m",BOUYGUES,AJO,,50|200|290,,False,False
1397023,FREE MOBILE,LTE 800, (CHAUMEZELLE) 07310 CHANEAC,07054,"44.9342,4.3308",Pylône autostable,"25,4m",Conseil Départemental,AJO,,40|250,,False,False
1397029,FREE MOBILE,LTE 800, (LES FONTETTES) 07190 ST JULIEN DU GUA,07253,"44.7694,4.4681",Pylône autostable,20m,Conseil Départemental,AJO,,5|125|265,,False,False
1397098,FREE MOBILE,LTE 800, (LES CORNÉES) 21510 ETALANTE,21253,"47.6372,4.7628",Pylône autostable,21m,Conseil Départemental,AJO,,180|325,,False,False
1397411,FREE MOBILE,LTE 800,LE MOULIN À VENT (CROIX DE LA VOIE DE ORMES) 21450 JOURS LES BAIGNEUX,21326,"47.6356,4.5972",Pylône autostable,17m,Conseil Départemental,AJO,,50|180|300,,False,False
1397426,FREE MOBILE,LTE 800, (LE SÉCHERON) 21400 NOIRON SUR SEINE,21460,"47.9492,4.4939",Pylône autostable,20m,BOUYGUES,AJO,,110|260,,False,False
1397509,FREE MOBILE,LTE 800,RD 17B (LES CARREAUX) 21430 VILLIERS EN MORVAN,21703,"47.1533,4.2567",Pylône autostable,20m,Conseil Départemental,AJO,,80|210|355,,False,False
1397539,FREE MOBILE,LTE 800,CR N°32 DÉCHARGE (LES PIERROTTES) 21510 ROCHEFORT SUR BREVON,21526,"47.7419,4.7075",Pylône autostable,35m,Conseil Départemental,AJO,,30|145|290,,False,False
1405513,FREE MOBILE,LTE 800,CHEMIN COMMUNAL  RÉSERVOIR D'EAU (CHERCHIAJA) 02300 GUNY,2A363,"41.715,9.0703",Pylône autostable,22m,TDF,AJO,,0,,False,False
1405524,FREE MOBILE,LTE 2100,FERME COSSIGNY (LA DEMOISELLE) 77173 CHEVRY COSSIGNY,77114,"48.7044,2.6581",Pylône autostable,32m,TDF,ALL,,110|260,,False,False
1414332,FREE MOBILE,LTE 800, (SUC DE CHERCHEMUS) 07630 LE BEAGE,07026,"44.8261,4.0975",Pylône autostable,22m,TDF,AJO,,30|260,,False,False
1414955,FREE MOBILE,5G NR 700,LES FAISSES 48200 ST CHELY D APCHER,48140,"44.8139,3.2844",Pylône autostable,30m,TDF,AJA,,140|230|320,,False,False
1427484,FREE MOBILE,5G NR 700,DOMAINE DURANTIN (DOMAINE DURANTIN) 42630 REGNY,42181,"45.9856,4.2167",Pylône autostable,"26,3m",TDF,AJA,,30|180|280,,False,False
1440445,FREE MOBILE,5G NR 700,PYLONE TDF (PUY LAROUX) 63700 YOUX,63471,"46.1428,2.8108",Pylône autostable,25m,TDF,AJA,,40|160|280,,False,False
1443521,FREE MOBILE,5G NR 700,LE GOTEAU 42740 LA TERRASSE SUR DORLAY,42308,"45.4486,4.5789",Pylône autostable,29m,TDF,AJA,,20|140|300,,False,False
