id_support,operateur,technologie,adresse,code_insee,coordonnees,type_support,hauteur_support,proprietaire_support,date_activ,action,infos,is_zb,is_new
1510426,BOUYGUES TELECOM,,LE FAUBOURG ST LAURENT (LE FAUBOURG SAINT LAURENT) 62300 LENS,62498,"50.4308,2.8167",Pylône tubulaire,29m,CELLNEX,2022-12-26,CHT,Pylône autostable,False,False
1511365,ORANGE,5G NR 2100,ENTRE CIMETIÈRE ET DECHETTERIE (LA CHAGNEE) 79450 ST AUBIN LE CLOUD,79239,"46.6461,-0.3475",Pylône autostable,29m,ATC FRANCE,2026-04-20,ALL,,False,False
1512407,ORANGE,5G NR 700,115 RTE DE LANGRES STÉ MERCIER 88300 NEUFCHATEAU,88321,"48.3425,5.6911",Pylône autostable,24m,TOTEM,2026-05-13,AAV,,False,False
1514252,BOUYGUES TELECOM,5G NR 3500,92 AV WALDECK ROCHET 93120 LA COURNEUVE,93027,"48.9417,2.4125",Pylône tubulaire,29m,HIVORY,2026-04-09,ALL,,False,False
1524021,SFR,"LTE 700, LTE 1800, LTE 2100, 5G NR 2100",LA JEANNETTE 56580 BREHAN,56024,"48.0908,-2.6644",Pylône autostable,32m,HIVORY,,AJO,,False,False
1525214,BOUYGUES TELECOM,5G NR 3500,36 AV BERNARD PALISSY 92210 ST CLOUD,92064,"48.8547,2.2219",Immeuble,21m,"Copropriété, Syndic, SCI",2026-04-03,ALL,,False,False
1559077,ORANGE,"LTE 700, LTE 2100", (FORÊT D'ECKARTSWILLER) 67700 ECKARTSWILLER,67117,"48.7731,7.3206",Pylône autostable,"30,4m",SNCF Réseau,,AJO,,False,False
1559077,ORANGE,GSM 900, (FORÊT D'ECKARTSWILLER) 67700 ECKARTSWILLER,67117,"48.7731,7.3206",Pylône autostable,"30,4m",SNCF Réseau,2016-01-07,SUP,,False,False
1562066,SFR,"LTE 700, LTE 2600",CHEM RURAL N°6 (KEGALLEC AR LAY) 29520 ST THOIS,29267,"48.1336,-3.9111",Pylône autostable,30m,HIVORY,2026-05-05,ALL,,False,False
1562608,BOUYGUES TELECOM,LTE 700,CD34 (LE GRATIN DE DUN) 18130 DUN SUR AURON,18087,"46.8786,2.5947",Pylône autostable,49m,HIVORY,2026-05-06,ALL,,False,False
1565123,ORANGE,"LTE 700, LTE 2100",RD 5 (PATAWA) 97356 MONTSINERY TONNEGRANDE,97313,"4.8397,-52.5128",Pylône autostable,50m,ORANGE Services Fixes,,AJO,,False,False
1565123,ORANGE,UMTS 2100,RD 5 (PATAWA) 97356 MONTSINERY TONNEGRANDE,97313,"4.8397,-52.5128",Pylône autostable,50m,ORANGE Services Fixes,,SUP,,False,False
