id_support,operateur,action,technologie,adresse,code_insee,coordonnees,type_support,hauteur_support,proprietaire_support,date_activ,is_zb,is_new
1000541,FREE MOBILE,ALL,LTE 900,56 BOULEVARD RISSO 06300 NICE,06088,"43.7022,7.28",Immeuble,"28,9m",Particulier,2025-10-17,False,False
1003950,ORANGE,SUP,"GSM 900, UMTS 900, LTE 800, LTE 1800, LTE 2100, LTE 2600",39 AVENUE GEORGES POMPIDOU BATIMENT G 31130 BALMA,31044,"43.6286,1.4914",Bâtiment,14m,"Copropriété, Syndic, SCI",2012-09-20,False,False
100534,ORANGE,SUP,GSM 900,2 AV PIERRE ET MARIE CURIE 60100 CREIL,60175,"49.2519,2.4783",Immeuble,23m,Société HLM,2001-12-14,False,False
1012153,ORANGE,ALL,LTE 700,PRÈS N.1 Z.I. (DOMAINE DE SOULA) 97355 MACOURIA,97305,"4.9317,-52.4017",Pylône autostable,50m,ORANGE,2025-10-16,False,False
1016286,FREE MOBILE,ALL,LTE 900,19 RUE HENRI GAUTIER 93000 BOBIGNY,93008,"48.9036,2.4292",Pylône haubané,"23,5m","Copropriété, Syndic, SCI",2025-10-17,False,False
1022665,BOUYGUES TELECOM,AJO,LTE 2600,PLACE DES ARÈNES (YUNCA) 40480 VIEUX BOUCAU LES BAINS,40328,"43.7886,-1.4025",Pylône tubulaire,"21,5m",HIVORY,,False,False
1023494,FREE MOBILE,ALL,LTE 900,142 RUE DE LA BAUCHE THIRAUD 44400 REZE,44143,"47.1611,-1.5528",Pylône tubulaire,25m,ON TOWER FRANCE,2025-10-17,False,False
1024817,VITI SAS,AJO,LTE 1800,LIMONADERIE SINGAPOUR ROUTE DE TIPAERUI (TIPAERUI) 98714 PAPEETE,98735,"-17.5494,-149.5775",Bâtiment,12m,Particulier,,False,False
1033041,FREE MOBILE,ALL,LTE 900,AVENUE D'ESTIENNE D'ORVES 83500 LA SEYNE SUR MER,83126,"43.1178,5.8814",Pylône tubulaire,"19,3m",ON TOWER FRANCE,2025-10-17,False,False
1040084,ORANGE,SUP,GSM 900,AÉROGARE ORLY OUEST EDICULE M8 - LOCAL 3868 94390 PARAY VIEILLE POSTE,91479,"48.7292,2.3589",Bâtiment,23m,"CCI, Ch Métier, Port Aut, Aéroport",2008-04-25,False,False
