id_support,operateur,technologie,adresse,code_insee,coordonnees,type_support,hauteur_support,proprietaire_support,date_activ,action,infos,is_zb,is_new
1002637,SFR,"GSM 900, UMTS 900, LTE 700",BOIS DE LA COLLE BAUDET FONT GAILLARDE 04170 THORAME HAUTE,04219,"44.0614,6.5797",Pylône autostable,16m,TDF,2021-09-08,EXT,,False,False
101559,ORANGE,LTE 700,RUE DU JAUMET RÉSERVOIR D'EAU DE CASES DE PENE 66600 CASES DE PENE,66041,"42.7803,2.7864",Château d'eau - réservoir,20m,"Commune, communauté de communes",2026-02-09,ALL,,False,False
1027489,BOUYGUES TELECOM,,"PR 50,6 - SORTIE A8 - LE BEAUSSET PRÈS LE CHÂTEAU VIEUX (ECHANGEUR DU CASTELLET) 83330 LE CASTELLET",83035,"43.1931,5.7639",Pylône autostable,21m,Sociétés d'Autoroutes,2023-12-06,CHA,Echangeur du Castellet Sortie A8 - Le Beausset Près Le Château Vieux,False,False
1041450,BOUYGUES TELECOM,5G NR 3500,ROUTE DE CHALAMPÉ (ILE NAPOLEON) 68170 RIXHEIM,68278,"47.7686,7.4242",Château d'eau - réservoir,"46,3m",Société Privée,2025-12-10,ALL,,False,False
1042308,FREE MOBILE,5G NR 3500,80 AV GEORGES GUYNEMER 94550 CHEVILLY LARUE,94021,"48.7628,2.3403",Pylône tubulaire,25m,FREE-MOBILE,,AJO,,False,False
1042358,ORANGE,"LTE 700, 5G NR 2100",CHEMIN RURAL (LA CHAPELLE ST LOUIS) 28700 SANTEUIL,28366,"48.3764,1.7375",Pylône autostable,33m,TOTEM,,AJO,,False,False
1042358,ORANGE,LTE 2100,CHEMIN RURAL (LA CHAPELLE ST LOUIS) 28700 SANTEUIL,28366,"48.3764,1.7375",Pylône autostable,33m,TOTEM,2019-12-10,SUP,,False,False
1058745,BOUYGUES TELECOM,5G NR 3500,38 R GODOT DE MAUROY 75009 PARIS 09,75109,"48.8725,2.3278",Immeuble,31m,Société Privée,2025-12-05,ALL,,False,False
1107570,FREE MOBILE,5G NR 3500,CHEMIN DES ROBERDES 17740 STE MARIE DE RE,17360,"46.1556,-1.3131",Pylône tubulaire,"27,5m",TOTEM,,AJO,,False,False
1151860,ORANGE,"LTE 700, 5G NR 2100", (ALLMENDFELD - 1ER GEWAND) 67480 ROPPENHEIM,67409,"48.8361,8.0819",Pylône autostable,24m,TOTEM,,AJO,,False,False
1151860,ORANGE,LTE 2100, (ALLMENDFELD - 1ER GEWAND) 67480 ROPPENHEIM,67409,"48.8361,8.0819",Pylône autostable,24m,TOTEM,2022-11-25,SUP,,False,False
1175160,FREE MOBILE,LTE 2100,RUE PIERRE GILLES DE GENNES (DIAGORA) 31670 LABEGE,31254,"43.5425,1.5136",Bâtiment,22m,"Commune, communauté de communes",2026-02-09,ALL,,False,False
1237616,FREE MOBILE,5G NR 3500,33 BD BALZAC 67200 STRASBOURG,67482,"48.5964,7.7039",Immeuble,37m,Société HLM,2026-02-09,ALL,,False,False
1237636,ORANGE,5G NR 700,RUE DU MORTIER 59181 STEENWERCK,59581,"50.6903,2.7642",Pylône autostable,36m,TOTEM,,AJO,,False,False
1285260,FREE MOBILE,"LTE 700, LTE 900, LTE 1800, LTE 2100, LTE 2600, 5G NR 700, 5G NR 3500",AVENUE DU LAC LE PORT 33990 HOURTIN,33203,"45.1808,-1.0853",Pylône autostable,28m,"Commune, communauté de communes",,AJO,,False,True
1326146,BOUYGUES TELECOM,UMTS 900,2 R DU JESUS 06300 NICE,06088,"43.6969,7.2761",Immeuble,"18,8m","Copropriété, Syndic, SCI",2026-01-29,ALL,,False,False
1342188,FREE MOBILE,5G NR 3500,17 RUE JEUNET 69005 LYON 05,69385,"45.7489,4.7906",Immeuble,"24,9m",Société HLM,2026-02-09,ALL,,False,False
1342537,BOUYGUES TELECOM,LTE 2600,CHATILLON (LA GRANDE GROLERIE) 79120 ROM,79230,"46.3133,0.1542",Château d'eau - réservoir,55m,"Commune, communauté de communes",,AJO,,False,False
1345686,FREE MOBILE,LTE 2100,209 BOULEVARD SAINT GERMAIN 75007 PARIS 07,75107,"48.8564,2.325",Immeuble,"25,7m","Copropriété, Syndic, SCI",2026-02-09,ALL,,False,False
1346477,BOUYGUES TELECOM,5G NR 3500,CHEMIN DE LA PASSERELLE STADE MARCEL CLAPIER 84100 ORANGE,84087,"44.1481,4.8011",Pylône tubulaire,28m,"Commune, communauté de communes",2026-01-09,ALL,,False,False
1347126,ORANGE,"LTE 2100, 5G NR 3500",CHE DU HOMBERG 68510 RANTZWILLER,68265,"47.6586,7.3642",Pylône autostable,"30,5m",TDF,2026-01-30,ALL,,False,False
1388718,FREE MOBILE,5G NR 3500,20 RUE DU MARECHAL JOFFRE 78000 VERSAILLES,78646,"48.795,2.1211",Immeuble,"21,4m","Copropriété, Syndic, SCI",,AJO,,False,False
1415917,ORANGE,"5G NR 700, 5G NR 3500",RUE JEAN JAURÈS - STADE 02230 FRESNOY LE GRAND,02334,"49.9547,3.4253",Pylône autostable,36m,TOTEM,,AJO,,False,False
1437119,SFR,UMTS 2100,ALLÉE DE MULLO 31590 ST MARCEL PAULEL,31501,"43.6453,1.6164",Pylône autostable,39m,TDF,2017-09-27,SUP,,False,False
1439336,SFR,"LTE 700, LTE 2600",BOIS DE LA CHAGNERAIE 86300 VALDIVIENNE,86233,"46.485,0.6222",Pylône autostable,32m,TDF,,AJO,,False,False
1440374,BOUYGUES TELECOM,"LTE 2100, 5G NR 2100",RUE ELIE MONTIER 37120 RICHELIEU,37196,"47.0294,0.3239",Pylône autostable,44m,TDF,2026-02-10,ALL,,False,False
1444207,SFR,"LTE 700, LTE 2100, LTE 2600, 5G NR 2100, 5G NR 3500",ZI LES MUIDS SARL CARON 02100 MORCOURT,02525,"49.8708,3.3317",Pylône tubulaire,25m,HIVORY,2025-04-11,EXT,,False,False
1452057,SFR,LTE 700, (CAP DE ROCH) 11130 SIGEAN,11379,"43.0225,2.9642",Pylône autostable,30m,HIVORY,2024-06-14,EXT,,False,False
1457021,SFR,"LTE 700, LTE 1800, LTE 2100, 5G NR 2100", (LA COMBE) 01630 ST JEAN DE GONVILLE,01360,"46.2208,5.9617",Pylône autostable,28m,HIVORY,,AJO,,False,False
