id_support,operateur,technologie,adresse,code_insee,coordonnees,type_support,hauteur_support,proprietaire_support,date_activ,action,infos,is_zb,is_new
1051695,BOUYGUES TELECOM,"GSM 900, GSM 1800, UMTS 2100",TUNNEL DE ST CYR A 12 (TUNNEL DE FONTENAY) 78210 ST CYR L ECOLE,78545,"48.8056,2.0508",Tunnel,"8,5m",DDE,2002-05-02,SUP,,False,False
1051697,BOUYGUES TELECOM,"GSM 900, GSM 1800, UMTS 2100",TUNNEL DE ST CYR A 12 (TUNNEL DE FONTENAY) 78210 ST CYR L ECOLE,78545,"48.805,2.0508",Tunnel,"8,5m",DDE,2002-05-02,SUP,,False,False
1051702,BOUYGUES TELECOM,"GSM 900, GSM 1800, UMTS 2100",TUNNEL DE CHAMPIGNY A 4 94500 CHAMPIGNY SUR MARNE,94017,"48.8272,2.5106",Tunnel,"6,2m",DDE,1997-07-10,SUP,,False,False
1051704,BOUYGUES TELECOM,"GSM 900, GSM 1800, UMTS 2100",TUNNEL DE CHAMPIGNY A 4 94500 CHAMPIGNY SUR MARNE,94017,"48.8272,2.5106",Tunnel,"6,2m",DDE,1997-07-10,SUP,,False,False
1057146,SFR,UMTS 900,24 AVENUE DU GENERAL PATTON 77000 MELUN,77288,"48.5464,2.6508",Immeuble,19m,"Copropriété, Syndic, SCI",,SUP,,False,True
1059869,ORANGE,5G NR 2100,LOU CHAOUSSE (LE CAUSSE) 48000 BADAROUX,48013,"44.5225,3.5508",Pylône autostable,33m,TDF,2026-07-13,AJA,,False,False
1074045,BOUYGUES TELECOM,UMTS 2100,AV PAUL VAILLANT COUTURIER TUNNEL DE RACCORDEMENT BD PÉRIPHÉRIQUE 94250 GENTILLY,94037,"48.8167,2.3364",Tunnel,"5,5m",DDE,2008-10-23,SUP,,False,False
1074071,BOUYGUES TELECOM,UMTS 2100,AV PAUL VAILLANT COUTURIER TUNNEL DE RACCORDEMENT BD PÉRIPHÉRIQUE 94250 GENTILLY,94037,"48.8167,2.3367",Tunnel,"4,7m",DDE,2008-10-23,SUP,,False,False
1074077,BOUYGUES TELECOM,UMTS 2100,AV PAUL VAILLANT COUTURIER TUNNEL DE RACCORDEMENT BD PÉRIPHÉRIQUE 94250 GENTILLY,94037,"48.8167,2.3375",Tunnel,5m,DDE,2008-10-23,SUP,,False,False
1133682,ORANGE,"5G NR 700, 5G NR 3500","16, RUE DE LA ROCHEFOUCAULD 93260 LES LILAS",93045,"48.8817,2.4128",Immeuble,40m,Société HLM,2026-07-20,AJA,,False,False
1166890,ORANGE,"GSM 900, UMTS 900, LTE 800, LTE 1800, LTE 2100",RUE CLÉMENT GUILBAUD EGLISE 44330 MOUZILLON,44108,"47.1403,-1.2808",Monument religieux,35m,"Commune, communauté de communes",2014-04-07,SUP,,False,False
1186283,BOUYGUES TELECOM,GSM 1800,"17, RUE HAMELIN 75116 PARIS 16",75116,"48.8669,2.2922",Bâtiment,28m,Société Privée,2014-01-30,SUP,,False,False
1190515,SFR,"UMTS 900, 5G NR 2100",7 RUE DE L  UNION AV. DU GÉNÉRAL LECLERC 93120 LA COURNEUVE,93027,"48.9281,2.3831",Immeuble,"39,3m",Société HLM,,SUP,,False,False
1237595,ORANGE,LTE 700,VOIE COMMUNALE N° 3 (LA BOUTELAIS) 35560 VAL COUESNON,35004,"48.4744,-1.5264",Pylône autostable,36m,TOTEM,2026-07-30,AAV,,False,False
1285300,BOUYGUES TELECOM,LTE 2600,231 QUAI SAINT PIERRE CO-PROPRIÉTÉ LES VOILES (LE BRUSC) 83140 SIX FOURS LES PLAGES,83129,"43.0756,5.8022",Bâtiment,"16,1m","Copropriété, Syndic, SCI",2026-07-06,ALL,,False,False
1290594,BOUYGUES TELECOM,UMTS 2100,CCAL LES 4 TEMPS // PARVIS DE LA DEFENSE (LA DEFENSE) 92800 PUTEAUX,92062,"48.8903,2.2372",Bâtiment,32m,"Copropriété, Syndic, SCI",2008-12-02,SUP,,False,False
1291867,BOUYGUES TELECOM,LTE 1800,D126 / ROUTE DE SENNELY À VIERZON LES ALLICOURTS 41300 PIERREFITTE SUR SAULDRE,41176,"47.5469,2.1811",Pylône autostable,43m,BOUYGUES,,AJO,,False,False
1303052,BOUYGUES TELECOM,UMTS 2100,103 CHEM DE PAYENS (STE COLOMBE) 11610 PENNAUTIER,11279,"43.25,2.2875",Pylône autostable,"39,3m",TDF,2009-01-27,SUP,,False,False
1306041,BOUYGUES TELECOM,UMTS 2100,29 R EDOUARD VAILLANT HÔTEL MERCURE 37200 TOURS,37261,"47.3869,0.6978",Bâtiment,"32,7m",Société Privée,2025-04-30,SUP,,False,False
