id_support,operateur,technologie,adresse,code_insee,coordonnees,type_support,hauteur_support,proprietaire_support,date_activ,action,infos,is_zb,is_new
1009786,FREE MOBILE,5G NR 3500,58 AVENUE FOCH 75116 PARIS 16,75116,"48.8731,2.2822",Immeuble,32m,"Copropriété, Syndic, SCI",,AJO,,False,False
1014807,SRR,LTE 2100,CHEM DES MILITAIRES (PITON DESFORGES) 97430 LE TAMPON,97422,"-21.1961,55.5744",Bâtiment,13m,ORANGE Services Fixes,2026-06-12,ART,,False,False
102906,ORANGE,"5G NR 700, 5G NR 3500",CD 166  DE CHENAS RUE DES MORELS (TERRE DES VIGNES) 71570 ST SYMPHORIEN D ANCELLES,71481,"46.2053,4.7711",Pylône autostable,24m,TOTEM,,AJO,,False,False
102967,ORANGE,5G NR 2100, (CARRIÈRE DES BACCOTTES) 71460 MALAY,71272,"46.5611,4.6892",Pylône autostable,24m,TOTEM,,AJO,,False,False
1043170,FREE MOBILE,"LTE 2100, LTE 2600",CHEM DU MÉNUCOURT (L'HAUTIL) 78740 VAUX SUR SEINE,78638,"49.0119,2.0019",Pylône autostable,45m,ORANGE,,SUP,,False,False
1150838,FREE MOBILE,LTE 2100, (KERVIGUEON) 29940 LA FORET FOUESNANT,29057,"47.9372,-3.9833",Pylône autostable,"37,7m",TOTEM,,SUP,,False,False
1273114,BOUYGUES TELECOM,UMTS 900,45 RUE DE LA MONTAT (LE PORT SEC) 42230 ST ETIENNE,42218,"45.4408,4.4014",Immeuble,43m,"Copropriété, Syndic, SCI",,SUP,,False,False
1385662,FREE MOBILE,LTE 2600,CHEMIN DUMONT CHEM RURAL N° 11 59273 FRETIN,59256,"50.5661,3.1369",Pylône tubulaire,30m,TOTEM,,SUP,,False,True
1391680,ORANGE,"UMTS 900, LTE 700, LTE 2100, 5G NR 3500", (ROUTE DE BEAUSOLEIL) 97119 VIEUX HABITANTS,97134,"16.0539,-61.7578",Pylône autostable,25m,DIGICEL,,AJO,,False,False
1395551,BOUYGUES TELECOM,"LTE 2100, 5G NR 2100",PL DU FRAYER 60960 FEUQUIERES,60233,"49.6442,1.8408",Château d'eau - réservoir,40m,"Commune, communauté de communes",,AJO,,False,False
1402743,SFR,"LTE 700, LTE 1800, LTE 2100, 5G NR 2100",FONT-PAULE (SORBIER DE MADAME) 30650 SAZE,30315,"43.9336,4.7042",Pylône autostable,25m,HIVORY,,AJO,,False,False
1407691,SFR,LTE 700,LA BOUIE LES VILLES POILES 56220 CADEN,56028,"47.6292,-2.2731",Pylône autostable,34m,TDF,,AJO,,False,False
1421973,PMT-VODAFONE,5G NR 3500,RUE MATATEVAI PK3.5 EST 98716 PIRAE,98736,"-17.5236,-149.5408",Pylône arbre,20m,Pacific Mobile Telecom,,AJO,,False,False
1424804,BOUYGUES TELECOM,GSM 1800,350 AVENUE JEAN JAURES 89 ALL PIERRE DE COUBERTIN (STADE GERLAND) 69007 LYON 07,69387,"45.7236,4.8322",Bâtiment,25m,"Commune, communauté de communes",2019-06-27,SUP,,False,False
