id_support,operateur,technologie,adresse,code_insee,coordonnees,type_support,hauteur_support,proprietaire_support,action,infos,liste_azimut,date_activ,is_zb,is_new
1721634,SFR,LTE 2100,RD 220 AIRE DE STOCKAGE (HAMEAU D'INGLINGHEM ) 62890 MENTQUE NORTBECOURT,62567,"50.7756,2.1136",Pylône tubulaire,17m,CELLNEX,AJA,,65|165|340,2026-09-11,False,False
1723798,SFR,UMTS 900,"12, PLACE BELLEVUE 42230 ST ETIENNE",42218,"45.4158,4.3931",Bâtiment,"37,9m","Copropriété, Syndic, SCI",SUP,,50|190|300,,False,True
1725482,SFR,"LTE 700, LTE 2600",D7 RUE DES FUSILLÉS (ETANG DE LA CROIX) 45240 MARCILLY EN VILLETTE,45193,"47.7672,2.0342",Pylône autostable,"45,8m",HIVORY,AJO,,120|240|340,,False,False
1734547,SFR,LTE 700, (LES DEUX MARES) 27180 CLAVILLE,27161,"49.0372,1.0108",Pylône tubulaire,35m,ATC FRANCE,AJO,,30|150|270,,False,False
1784258,SFR,LTE 2100,75 R PRINCIPALE EGLISE 67700 ECKARTSWILLER,67117,"48.7675,7.3567",Monument religieux,28m,"Commune, communauté de commune",AJA,,35|125|215,2026-09-11,False,False
1812919,SFR,"LTE 700, LTE 2600, 5G NR 2100",RD 37 (SUD DE MORTEAS) 06320 LA TURBIE,06150,"43.7361,7.3969",Pylône autostable,"14,1m",HIVORY,AJO,,230|330,,False,False
1815773,SFR,LTE 700, (LA TREMBLAIE) 41190 HERBAULT,41101,"47.6047,1.1294",Pylône autostable,"30,6m",ATC FRANCE,AJO,,80|200|320,,False,False
1833679,SFR,LTE 700,VC N°18 (BOIS DE LA COLLONGE) 01140 ILLIAT,01188,"46.1808,4.8675",Pylône autostable,"36,5m",HIVORY,AJO,,220|340,,False,False
1855128,SFR,LTE 700,AV DE LA LIBÉRATION 26 AOÛT 1944 CAVE COOPÉRATIVE 84290 CAIRANNE,84028,"44.2306,4.9278",Silo,"28,4m","Coopérative Agricole, Vinicole",AJO,,40|150|270,,False,False
1855128,SFR,LTE 2100,AV DE LA LIBÉRATION 26 AOÛT 1944 CAVE COOPÉRATIVE 84290 CAIRANNE,84028,"44.2306,4.9278",Silo,"28,4m","Coopérative Agricole, Vinicole",SUP,,40|150|270,2022-04-07,False,False
