id_support,operateur,technologie,adresse,code_insee,coordonnees,type_support,hauteur_support,proprietaire_support,action,infos,liste_azimut,date_activ,is_zb,is_new
1685024,ORANGE,5G NR 2100,FONTALLÈS (LES MAZUTS) 46090 ARCAMBAL,46007,"44.4478,1.5539",Pylône autostable,"36,5m",ATC FRANCE,ALL,,20|160|260,2026-09-08,False,False
1691405,ORANGE,5G NR 3500,A 40 DIRECTION GENÈVE (GARE DE PÉAGE DE VIRY) 74580 VIRY,74309,"46.1192,6.0111",Pylône autostable,30m,TOTEM,ART,,140|240|320,2025-05-19,False,False
1700148,ORANGE,5G NR 3500,RUE MARJOLAINE (LES CONDAMINES) 26740 LES TOURRETTES,26353,"44.665,4.7981",Pylône tubulaire,"30,4m","Commune, communauté de commune",ART,,180|260|355,2025-06-26,False,False
1709503,ORANGE,"LTE 1800, 5G NR 2100",HÔTEL DE VILLE DE CORNEILHAN PLACE DE L'HÔTEL DE VILLE 34490 CORNEILHAN,34084,"43.4,3.1933",Bâtiment,"11,6m","Commune, communauté de commune",ART,,0|135|245,2026-03-09,False,False
1735321,ORANGE,"LTE 800, 5G NR 700",R D'ORS - R DES FUSILLÉS STADE MUNICIPAL 59222 BOUSIES,59099,"50.1503,3.6097",Pylône tubulaire,32m,HIVORY,ALL,,60|160|280,2026-09-15,False,True
1738078,ORANGE,LTE 700,PRÈS N 157 (ST HUBERT LES ROCHES) 72470 CHAMPAGNE,72054,"48.0078,0.3375",Pylône autostable,36m,TOTEM,ALL,,0|110|270,2026-09-17,False,False
1745836,ORANGE,5G NR 700,ALLÉE DU PARC 94370 SUCY EN BRIE,94071,"48.7617,2.5422",Pylône tubulaire,37m,BOUYGUES,ALL,,100|330,2026-09-16,False,False
1770684,ORANGE,"5G NR 700, 5G NR 3500",RÉSERVOIR DE LA FONTAINE ARDENTE (MONTBONNOT) 38240 MEYLAN,38229,"45.2336,5.7769",Château d'eau - réservoir,12m,"Syndicat des eaux, Adduction",ART,,80|150,2025-10-23,False,False
1785916,ORANGE,5G NR 700,EGLISE CATHOLIQUE PLACE DU GÉNÉRAL DE GAULLE 67460 SOUFFELWEYERSHEIM,67471,"48.6353,7.7419",Monument religieux,"35,5m","Commune, communauté de commune",EXT,,80|170|260,2026-09-24,False,False
1791503,ORANGE,"LTE 700, 5G NR 2100",ROUTE DES RESERVOIRS CHATEAU D'EAU DE BRACHY PRES D270 76810 GREUVILLE,76327,"49.8028,0.9169",Château d'eau - réservoir,"47,5m","Syndicat des eaux, Adduction",AJO,,60|170|320,,False,False
1791503,ORANGE,"GSM 900, LTE 2100",ROUTE DES RESERVOIRS CHATEAU D'EAU DE BRACHY PRES D270 76810 GREUVILLE,76327,"49.8028,0.9169",Château d'eau - réservoir,"47,5m","Syndicat des eaux, Adduction",SUP,,60|170|320,GSM 900: 2006-09-30; LTE 2100: 2019-12-05,False,False
1813051,ORANGE,5G NR 2100,CHEMIN RURAL (LES GRAVETTES) 24640 BASSILLAC ET AUBEROCHE,24026,"45.1031,0.9553",Pylône autostable,36m,TOTEM,AJO,,40|180|300,,False,False
1813051,ORANGE,LTE 2100,CHEMIN RURAL (LES GRAVETTES) 24640 BASSILLAC ET AUBEROCHE,24026,"45.1031,0.9553",Pylône autostable,36m,TOTEM,SUP,,40|180|300,2021-08-19,False,False
1860882,ORANGE,5G NR 3500,RUE SADI CARNOT 34140 MEZE,34157,"43.4258,3.6078",Monument religieux,"26,4m","Commune, communauté de commune",ART,,65|155|245|335,2026-04-27,False,False
1880579,ORANGE,5G NR 3500,10 RUE RIBOUD 69003 LYON 03,69383,"45.7619,4.8636",Bâtiment,"25,4m",Particulier,ART,,40|150,2025-12-01,False,False
1881989,ORANGE,LTE 800,122 R ANDRE JACQUES PARKING FALAISE 73000 CHAMBERY,73065,"45.5622,5.9261",Bâtiment,23m,Société Privée,ALL,,15|300,2026-09-09,False,False
1889631,ORANGE,5G NR 3500,ENTRE D572 ET D15 (VIGNEROLLES) 13330 PELISSANNE,13069,"43.6289,5.1372",Pylône autostable,"34,5m",TOTEM,ART,,0|150|260,2025-11-20,False,False
1918075,ORANGE,5G NR 3500,CHEMIN DU HAUT DES ROVARIÈRES 28220 CLOYES LES TROIS RIVIERES,28103,"48.0017,1.2453",Pylône autostable,40m,TDF,ART,,40|170|260,2025-09-04,False,False
1919773,ORANGE,5G NR 3500,TRIBUNE LEPAGNOT AVENUE ALFRED MAES (STADE BOLLAERT-DELELIS) 62300 LENS,62498,"50.4322,2.815",Bâtiment,"39,3m",Société Privée,ART,,170,2026-01-26,False,False
1925381,ORANGE,5G NR 3500,RUE DU 505ÈME RCC 56000 VANNES,56260,"47.6614,-2.7436",Pylône tubulaire,"34,5m",TOTEM,ART,,60|190|280,2025-12-08,False,False
1932890,ORANGE,5G NR 700,PRÈS D 69 CHEM RURAL N°27 (LA MORLANDE) 50480 PICAUVILLE,50400,"49.3797,-1.4075",Pylône autostable,29m,ATC FRANCE,AAV,,30|150|270,2026-09-24,False,False
1933025,ORANGE,5G NR 3500,13 R ANATOLE LE BRAZ STADE LOUIS CHEVÉ 22600 LOUDEAC,22136,"48.1836,-2.7625",Pylône tubulaire,27m,"Commune, communauté de commune",ART,,30|150|270,2025-05-21,False,False
