id_support,operateur,technologie,adresse,code_insee,coordonnees,type_support,hauteur_support,proprietaire_support,date_activ,action,infos,is_zb,is_new
1007085,ORANGE,GSM 900,CHEM DU CASTEL À AIGUILLANES (LAS RIVES) 09300 LESPARROU,09165,"42.9364,1.9122",Pylône autostable,36m,TOTEM,2013-11-28,SUP,,True,False
1007422,ORANGE,GSM 900,D 19 - AVENUE ROGER TISSANDIÉ (DERRIERE LE BARRAT) 31600 MURET,31395,"43.4606,1.37",Pylône autostable,33m,RTE,2014-04-15,SUP,,False,False
1009786,FREE MOBILE,5G NR 3500,58 AVENUE FOCH 75116 PARIS 16,75116,"48.8731,2.2822",Immeuble,32m,"Copropriété, Syndic, SCI",,AJO,,False,False
101030,ORANGE,5G NR 2100,CENTRAL TÉLÉPHONIQUE (LE BOURG) 63230 LA GOUTELLE,63170,"45.8436,2.7656",Pylône autostable,30m,TOTEM,2026-06-25,ART,,False,False
101083,ORANGE,"LTE 700, 5G NR 2100", (THÈDES) 63122 ST GENES CHAMPANELLE,63345,"45.7381,3.0242",Pylône tubulaire,14m,TOTEM,2026-07-02,ALL,,False,False
1012019,ORANGE,"LTE 700, 5G NR 2100",CHEMIN DES CENSES (LE PELLEY) 38690 BURCIN,38063,"45.4483,5.4581",Pylône autostable,18m,TOTEM,2026-06-24,ART,,False,False
101377,ORANGE,GSM 900,R DU STADE AUTOCOMMUTATEUR FT- 65230 CASTELNAU MAGNOAC,65129,"43.2917,0.5047",Pylône autostable,30m,TOTEM,1997-07-11,SUP,,False,False
101407,ORANGE,GSM 900,STADE DE RUGBY (LE BUELA) 65130 CAPVERN,65127,"43.0969,0.3275",Pylône autostable,30m,TOTEM,1998-04-10,SUP,,False,False
101411,ORANGE,GSM 900,CHEM DE HAOUTS (BUALA) 65400 GAILLAGOS,65182,"42.9842,-0.1658",Pylône autostable,30m,TOTEM,1998-11-13,SUP,,False,False
1014807,SRR,LTE 2100,CHEM DES MILITAIRES (PITON DESFORGES) 97430 LE TAMPON,97422,"-21.1961,55.5744",Bâtiment,13m,ORANGE Services Fixes,2026-06-12,ART,,False,False
1015219,ORANGE,GSM 900, (A LAMOTHE) 32400 GOUX,32151,"43.6194,-0.0344",Pylône autostable,43m,TOTEM,2013-01-10,SUP,,True,False
1019340,ORANGE,GSM 900,D 126 (BOUSSAS) 32160 COULOUME MONDEBAT,32109,"43.6156,0.1258",Pylône autostable,35m,Conseil Départemental,2013-10-01,SUP,,True,False
1024368,ORANGE,5G NR 2100,AIRE DE SERVICE LES JONCHETS AUTOROUTE A5 SENS PARIS-PROVINCE 77130 LA GRANDE PAROISSE,77210,"48.4253,2.9275",Pylône autostable,37m,ORANGE,,AJO,,False,False
1024368,ORANGE,LTE 2100,AIRE DE SERVICE LES JONCHETS AUTOROUTE A5 SENS PARIS-PROVINCE 77130 LA GRANDE PAROISSE,77210,"48.4253,2.9275",Pylône autostable,37m,ORANGE,2020-10-19,SUP,,False,False
102906,ORANGE,"5G NR 700, 5G NR 3500",CD 166  DE CHENAS RUE DES MORELS (TERRE DES VIGNES) 71570 ST SYMPHORIEN D ANCELLES,71481,"46.2053,4.7711",Pylône autostable,24m,TOTEM,,AJO,,False,False
102967,ORANGE,5G NR 2100, (CARRIÈRE DES BACCOTTES) 71460 MALAY,71272,"46.5611,4.6892",Pylône autostable,24m,TOTEM,,AJO,,False,False
1039438,ORANGE,GSM 900,AVENUE GEORGES PRADEL GYMNASE (LES MOURLINGUES) 31130 BALMA,31044,"43.6039,1.5081",Pylône tubulaire,25m,ORANGE,2017-12-20,SUP,,False,False
1040118,ORANGE,GSM 900,CUL DE SAC (PEA TREE HILL) 97150 ST MARTIN,97801,"18.1022,-63.0386",Mât métallique,10m,ORANGE,2001-12-24,SUP,,False,False
