id_support,operateur,technologie,adresse,code_insee,coordonnees,type_support,hauteur_support,proprietaire_support,date_activ,action,infos,is_zb,is_new
1004659,BOUYGUES TELECOM,UMTS 900,9 R DE L'ABBE HERVAL 76620 LE HAVRE,76351,"49.4869,0.1047",Immeuble,"23,9m","Copropriété, Syndic, SCI",2018-01-25,SUP,,False,False
1012059,BOUYGUES TELECOM,GSM 900,1 R MAURICE FLANDIN 69003 LYON 03,69383,"45.7636,4.8631",Immeuble,"29,7m","Copropriété, Syndic, SCI",2018-05-30,SUP,,False,False
1021396,BOUYGUES TELECOM,UMTS 900,21 R D'ENSISHEIM 68200 MULHOUSE,68224,"47.7539,7.3406",Immeuble,"30,2m",Société HLM,2019-05-27,SUP,,False,False
102502,ORANGE,"LTE 2100, 5G NR 700, 5G NR 3500", (LE CRET) 69550 CUBLIZE,69070,"46.0153,4.3931",Pylône autostable,21m,TOTEM,,AJO,,False,False
102502,ORANGE,LTE 700, (LE CRET) 69550 CUBLIZE,69070,"46.0153,4.3931",Pylône autostable,21m,TOTEM,2021-10-04,SUP,,False,False
102965,ORANGE,"LTE 700, LTE 1800, 5G NR 2100", (LES QUEULOTS) 71400 AUXY,71015,"46.9242,4.3758",Pylône autostable,36m,TOTEM,2026-05-21,ALL,,False,False
1035269,ORANGE,"LTE 800, LTE 2100, 5G NR 700, 5G NR 3500",RUE CHARLES DE FOUCAULT STADE HENRY LUGUET 18390 ST GERMAIN DU PUY,18213,"47.1014,2.49",Pylône tubulaire,26m,"Commune, communauté de communes",,AJO,,False,False
103527,ORANGE,"LTE 700, LTE 1800, 5G NR 2100",PROCHE N.205 (BOCHER - CHUTE DE PASSY) 74310 LES HOUCHES,74143,"45.9044,6.7797",Pylône autostable,28m,TOTEM,2026-05-13,ALL,,False,False
1059417,BOUYGUES TELECOM,LTE 2100,ST PIERRE 81360 MONTREDON LABESSONNIE,81182,"43.7367,2.3375",Pylône autostable,"12,5m",ATC FRANCE,,AJO,,False,False
1083397,BOUYGUES TELECOM,,CHEMIN DE SERRE FAVIER (SERRE FAVIER) 26410 BOULC,26055,"44.6628,5.5203",Pylône autostable,30m,TDF,2005-12-15,CHA,SERRE FAVIER,False,False
1083397,FREE MOBILE,,CHEMIN DE SERRE FAVIER (SERRE FAVIER) 26410 BOULC,26055,"44.6628,5.5203",Pylône autostable,30m,TDF,2020-06-25,CHA,SERRE FAVIER,True,False
1083397,ORANGE,,CHEMIN DE SERRE FAVIER (SERRE FAVIER) 26410 BOULC,26055,"44.6628,5.5203",Pylône autostable,30m,TDF,2022-07-01,CHA,SERRE FAVIER,True,False
1083397,SFR,,CHEMIN DE SERRE FAVIER (SERRE FAVIER) 26410 BOULC,26055,"44.6628,5.5203",Pylône autostable,30m,TDF,2022-05-30,CHA,SERRE FAVIER,True,False
1120326,BOUYGUES TELECOM,5G NR 2100,51 BD  ERNEST RENAN CHAPELLE (LES AUBES) 34090 MONTPELLIER,34172,"43.6178,3.8914",Monument religieux,24m,"Commune, communauté de communes",2026-05-07,ALL,,False,False
1164106,BOUYGUES TELECOM,GSM 900,29 R ETIENNE RICHERAND 69003 LYON 03,69383,"45.7614,4.8667",Immeuble,26m,Société Privée,2018-05-30,SUP,,False,False
1190515,BOUYGUES TELECOM,5G NR 3500,7 RUE DE L  UNION AV. DU GÉNÉRAL LECLERC 93120 LA COURNEUVE,93027,"48.9281,2.3831",Immeuble,"39,3m",Société HLM,2026-05-07,ALL,,False,False
1194874,BOUYGUES TELECOM,GSM 900,19 RUE JEAN LECANUET 76100 ROUEN,76540,"49.4439,1.0958",Immeuble,27m,"Copropriété, Syndic, SCI",2015-10-15,SUP,,False,False
1208443,ORANGE,"LTE 1800, 5G NR 2100",RUE JEAN MOULIN ENTREPRISE TERNOIS (LES HAYETTES) 80570 EMBREVILLE,80265,"50.0219,1.5358",Pylône tubulaire,30m,TOTEM,2026-05-06,ALL,,False,False
1273514,BOUYGUES TELECOM,GSM 900,44 RUE REBEVAL 75019 PARIS 19,75119,"48.8744,2.3792",Immeuble,43m,Société HLM,1997-08-29,SUP,,False,False
1278028,SRR,UMTS 2100,821 CHEM FANTAISIE 97440 ST ANDRE,97409,"-20.9467,55.6717",Pylône autostable,41m,Société Réunionnaise de Radiotéléphonie,2009-04-20,SUP,,False,False
