id_support,operateur,technologie,adresse,code_insee,coordonnees,type_support,hauteur_support,proprietaire_support,date_activ,action,infos,is_zb,is_new
101113,ORANGE,"LTE 700, 5G NR 2100",R DES CHÊNES - LE BOURG 63760 BOURG LASTIC,63048,"45.6475,2.555",Pylône autostable,"30,8m",TOTEM,,AJO,,False,False
1012019,ORANGE,"LTE 700, 5G NR 2100",CHEMIN DES CENSES (LE PELLEY) 38690 BURCIN,38063,"45.4483,5.4581",Pylône autostable,18m,TOTEM,,AJO,,False,False
1012019,ORANGE,LTE 2100,CHEMIN DES CENSES (LE PELLEY) 38690 BURCIN,38063,"45.4483,5.4581",Pylône autostable,18m,TOTEM,2018-09-26,SUP,,False,False
1014807,SRR,LTE 2100,CHEM DES MILITAIRES (PITON DESFORGES) 97430 LE TAMPON,97422,"-21.1961,55.5744",Bâtiment,13m,ORANGE Services Fixes,,AJO,,False,False
1014807,SRR,UMTS 2100,CHEM DES MILITAIRES (PITON DESFORGES) 97430 LE TAMPON,97422,"-21.1961,55.5744",Bâtiment,13m,ORANGE Services Fixes,2021-03-15,SUP,,False,False
1023562,FREE MOBILE,LTE 2100,RUE DES GRAVIERS ZONE D'ACTIVITÉ DES GRAVIERS 91190 VILLIERS LE BACLE,91679,"48.7311,2.1119",Pylône autostable,32m,TOTEM,2026-06-22,ALL,,False,False
1041558,BOUYGUES TELECOM,LTE 2100,41 CHEM DU PLANTEY 33170 GRADIGNAN,33192,"44.7511,-0.6283",Pylône autostable,"37,4m",BOUYGUES,2017-12-20,SUP,,False,False
1043170,ORANGE,"5G NR 700, 5G NR 3500",CHEM DU MÉNUCOURT (L'HAUTIL) 78740 VAUX SUR SEINE,78638,"49.0119,2.0019",Pylône autostable,45m,ORANGE,2026-06-15,ALL,,False,False
1044689,ORANGE,GSM 900,ARNEULE DE HAUT (LES GRANGES DE 5 MONTS) 64440 LARUNS,64320,"43.0069,-0.4308",Pylône autostable,10m,ORANGE Services Fixes,2007-05-19,SUP,,False,False
105634,BOUYGUES TELECOM,LTE 2600, (ROUAYRAS) 81320 NAGES,81193,"43.6589,2.7772",Pylône autostable,32m,TOTEM,,AJO,,False,False
106192,ORANGE,"LTE 1800, 5G NR 700, 5G NR 3500",CAVE LES COTEAUX 84820 VISAN,84150,"44.3133,4.9486",Local technique,23m,"Commune, communauté de communes",,AJO,,False,False
1088530,FREE MOBILE,5G NR 700,CENTRE EQUESTRE GRAMMONT  34090 MONTPELLIER,34172,"43.6161,3.9322",Pylône tubulaire,"35,8m","Commune, communauté de communes",2026-06-23,ALL,,False,False
1101881,FREE MOBILE,"LTE 700, LTE 900, LTE 1800, LTE 2100, LTE 2600, 5G NR 700",40 AVENUE FONTAINEBLEAU 94270 LE KREMLIN BICETRE,94043,"48.8133,2.3608",Bâtiment,"31,7m","Copropriété, Syndic, SCI",2021-08-06,SUP,,False,False
1136023,FREE MOBILE,"LTE 700, LTE 900, LTE 1800, LTE 2100, LTE 2600, 5G NR 700, 5G NR 3500",4 RUE NICOLAS ROBERT 93600 AULNAY SOUS BOIS,93005,"48.9467,2.4861",Bâtiment,"24,1m","Copropriété, Syndic, SCI",2021-09-10,SUP,,False,False
1174724,BOUYGUES TELECOM,UMTS 900,20 RUE FERNAND PENA 93700 DRANCY,93029,"48.9178,2.4342",Immeuble,57m,Société HLM,2018-01-26,SUP,,False,False
118480,DIGICEL,,BOIS ROUGE - OASIS 97224 DUCOS,97207,"14.6022,-60.9728",Bâtiment,17m,Inconnu,2018-06-11,CHP,Société Privée,False,False
118480,FREE CARAIBES,,BOIS ROUGE - OASIS 97224 DUCOS,97207,"14.6022,-60.9728",Bâtiment,17m,Inconnu,2023-11-06,CHP,Société Privée,False,False
