id_support,operateur,action,technologie,adresse,code_insee,coordonnees,type_support,hauteur_support,proprietaire_support,date_activ,is_zb,is_new
1042306,FREE MOBILE,ALL,5G NR 3500,BOULEVARD CIRCULAIRE NORD 94550 CHEVILLY LARUE,94021,"48.77,2.3472",Pylône autostable,25m,FREE-MOBILE,2025-11-27,False,False
1044949,ORANGE,SUP,"GSM 900, LTE 700",52 RUE DE LA VICTOIRE 75009 PARIS 09,75109,"48.8753,2.335",Bâtiment,26m,Société Privée,2012-10-13,False,False
1047626,ORANGE,SUP,GSM 900, (S1 SIGNAL DE FLAGIT) 48000 BALSIEGES,48016,"44.52,3.4522",Pylône autostable,41m,ORANGE,1993-09-03,False,False
1055429,TELCO OI,ALL,5G NR 3500,CHEMIN DE LA VIGIE (LA VIGIE) 97615 PAMANDZI,97615,"-12.7925,45.2889",Pylône autostable,25m,Telco OI,2025-11-20,False,False
1057962,FREE MOBILE,AJO,5G NR 3500,23 ALLEE DE LA TOISON D OR 94000 CRETEIL,94028,"48.7803,2.4547",Immeuble,"53,7m","Copropriété, Syndic, SCI",,False,False
1058694,ORANGE,SUP,GSM 900,"CENTRE COMMERCIAL 21, ROUTE DE LA ROCHELLE (LE GRAND CHAMP-EST) 79000 BESSINES",79034,"46.3022,-0.4872",Pylône tubulaire,24m,ORANGE,2013-01-16,False,False
1058745,BOUYGUES TELECOM,ALL,LTE 700,38 R GODOT DE MAUROY 75009 PARIS 09,75109,"48.8725,2.3278",Immeuble,31m,Société Privée,2025-10-27,False,False
106012,ORANGE,SUP,GSM 900,129 AV DES GOLFS-RÉSIDENCE LE BAKTEE (VALESCURE) 83700 ST RAPHAEL,83118,"43.4528,6.7819",Immeuble,13m,"Copropriété, Syndic, SCI",1999-08-31,False,False
1063214,ORANGE,SUP,GSM 900,RUE DES BERNAUDS (LES BERNAUX) 71670 ST PIERRE DE VARENNES,71468,"46.8472,4.4972",Pylône autostable,35m,TOTEM,1997-12-31,False,False
107036,ORANGE,SUP,"GSM 900, LTE 700",2-9-11-13-13BIS R P.SÉMARD 89400 MIGENNES,89257,"47.9603,3.5308",Immeuble,19m,Société HLM,2001-12-07,False,False
1088530,FREE MOBILE,ALL,LTE 900,CENTRE EQUESTRE GRAMMONT  34090 MONTPELLIER,34172,"43.6161,3.9322",Pylône tubulaire,"35,8m","Commune, communauté de communes",2025-11-27,False,False
1120171,ORANGE,SUP,GSM 900,CARRÉ D'ART 16 PLACE DE LA MAISON CARRÉ 30900 NIMES,30189,"43.8381,4.355",Bâtiment,24m,"Commune, communauté de communes",1996-09-20,False,False
1120326,BOUYGUES TELECOM,ALL,LTE 700,51 BD  ERNEST RENAN CHAPELLE (LES AUBES) 34090 MONTPELLIER,34172,"43.6178,3.8914",Monument religieux,24m,"Commune, communauté de communes",2025-11-25,False,False
